DexNumber,Name,FlavorText,Normal,Fire,Water,Grass,Electric,Psychic,Ice,Dragon,Dark,Fairy,Fighting,Flying,Poison,Ground,Rock,Bug,Ghost,Steel
1,Bulbasaur,"For some time after its birth, it grows by taking nourishment from the seed on its back.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,Bulbasaur,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,Bulbasaur,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,Bulbasaur,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,Bulbasaur,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,Bulbasaur,"For some time after its birth, it grows by gaining nourishment from the seed on its back.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,Bulbasaur,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,Bulbasaur,"It carries a seed on its back right from birth. As it grows older, the seed also grows larger.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,Bulbasaur,The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,Bulbasaur,"While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Ivysaur,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Ivysaur,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Ivysaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Ivysaur,The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Ivysaur,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Ivysaur,"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Ivysaur,"If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Ivysaur,"To support its bulb, IVYSAUR’s legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Ivysaur,The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Ivysaur,The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Venusaur,"In order to support its flower, which has grown larger due to Mega Evolution, its back and legs have become stronger.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Venusaur,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Venusaur,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Venusaur,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Venusaur,The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Venusaur,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Venusaur,"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Venusaur,"It is able to convert sunlight into energy. As a result, it is more powerful in the summertime.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Venusaur,VENUSAUR’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Venusaur,"As it warms itself and absorbs the sunlight, its flower petals release a pleasant fragrance.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Venusaur,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,Charmander,"The fire on the tip of its tail is a measure of its life. If the Pokémon is healthy, its tail burns intensely.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Charmander,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Charmander,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Charmander,The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Charmander,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Charmander,"The flame on its tail indicates Charmander’s life force. If it is healthy, the flame burns brightly.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Charmander,"The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Charmander,"The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Charmander,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is happy, and blazes when it is enraged.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Charmander,"If it’s healthy, the flame on the tip of its tail will burn vigorously, even if it gets a bit wet.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Charmander,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Charmeleon,"In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Charmeleon,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Charmeleon,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Charmeleon,"Tough fights could excite this Pokémon. When excited, it may breathe out bluish-white flames.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Charmeleon,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Charmeleon,"When it swings its burning tail, it elevates the air temperature to unbearably high levels.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Charmeleon,It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Charmeleon,"It is very hotheaded by nature, so it constantly seeks opponents. It calms down only when it wins.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Charmeleon,"Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Charmeleon,"When it swings its burning tail, it elevates the air temperature to  unbearably high levels.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Charmeleon,"Tough fights could excite this POKéMON. When excited, it may blow out bluish-white flames.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Charmeleon,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Charizard,Its bond with its Trainer is the source of its power. It boasts speed and maneuverability greater than that of a jet fighter.,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,Charizard,The overwhelming power that fills its entire body causes it to turn black and create intense blue flames.,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,Charizard,"The flame inside its body burns hotter than 3,600 degrees Fahrenheit. When Charizard roars, that temperature climbs even higher.",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,Charizard,"This colossal, flame-winged figure of a Charizard was brought about by Gigantamax energy.",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,Charizard,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,Charizard,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,Charizard,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,Charizard,"When this Pokémon expels a blast of superhot fire, the red flame at the tip of its tails burns more intensely.",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,Charizard,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,Charizard,"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely.",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,Charizard,"Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies.",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,Charizard,"If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade.",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,Charizard,"A CHARIZARD flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe.",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,Charizard,It uses its wings to fly high. The temperature of its fire increases as it gains experience in battle.,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,Charizard,"If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a whitish-blue color.",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,Charizard,"When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely.",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6,Charizard,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
7,Squirtle,"It hides in its shell to protect itself, then strikes back with spouts of water at every opportunity.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Squirtle,"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Squirtle,"When it retracts its long neck into its shell, it squirts out water with vigorous force.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Squirtle,Shoots water at prey while in the water. Withdraws into its shell when in danger.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Squirtle,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Squirtle,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Squirtle,It shelters itself in its shell then strikes back with spouts of water at every opportunity.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Squirtle,"The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Squirtle,"The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Squirtle,"Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling SQUIRTLE to swim at high speeds.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Squirtle,"After birth, its back swells and hardens into a shell. It powerfully sprays foam  from its mouth.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Squirtle,"When it feels threatened, it draws its legs inside its shell and sprays water from its mouth.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Squirtle,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Wartortle,"It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Wartortle,It cleverly controls its furry ears and tail to maintain its balance while swimming.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Wartortle,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Wartortle,"When tapped on its head, this Pokémon will pull it in, but its tail will stick out a little bit.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Wartortle,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Wartortle,"When tapped, this Pokémon will pull in its head, but its tail will still stick out a little bit.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Wartortle,"It is a well-established symbol of longevity. If its shell has algae on it, that WARTORTLE is very old.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Wartortle,"Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this POKéMON’s toughness in battle.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Wartortle,"It often hides in water to stalk unwary prey. For fast swimming, it moves its ears to maintain balance.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Wartortle,This POKéMON is very popular as a pet. Its fur-covered tail is a symbol of its longevity.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Wartortle,"Its long, furry tail is a symbol of longevity, making it quite popular among older people.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Wartortle,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Blastoise,The cannon on its back is as powerful as a tank gun. Its tough legs and back enable it to withstand the recoil from firing the cannon.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Blastoise,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Blastoise,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Blastoise,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Blastoise,"Once it takes aim at its enemy, it blasts out water with even more force than a fire hose.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
